"Domain","Base Domain","URL","Agency","Sources","Participates in DAP?"
"fedramp.gov","fedramp.gov","https://www.fedramp.gov","General Services Administration","dotgov","Yes"
"fedshirevets.gov","fedshirevets.gov","https://www.fedshirevets.gov","Office of Personnel Management","dotgov","Yes"
"feedthefuture.gov","feedthefuture.gov","https://www.feedthefuture.gov","U.S. Agency for International Development","dotgov","No"
"fema.gov","fema.gov","https://www.fema.gov","Department of Homeland Security","dotgov","Yes"
"ferc.gov","ferc.gov","https://ferc.gov","Federal Energy Regulatory Commission","dotgov","Yes"
"ffb.gov","ffb.gov","https://www.ffb.gov","Department of the Treasury","dotgov","Yes"
"ffiec.gov","ffiec.gov","https://www.ffiec.gov","Federal Reserve Board of Governors","dotgov","No"
"fgdc.gov","fgdc.gov","https://www.fgdc.gov","Department of the Interior","dotgov","No"
"fhfa.gov","fhfa.gov","https://www.fhfa.gov","Federal Housing Finance Agency","dotgov","Yes"
"fhfaoig.gov","fhfaoig.gov","https://www.fhfaoig.gov","Federal Housing Finance Agency, Office of Inspector General","dotgov","Yes"
"financialresearch.gov","financialresearch.gov","https://www.financialresearch.gov","Department of the Treasury","dotgov","Yes"
"fincen.gov","fincen.gov","https://www.fincen.gov","Department of the Treasury","dotgov","No"
"findtreatment.gov","findtreatment.gov","https://findtreatment.gov","Department of Health and Human Services","dotgov","Yes"
"firecode.gov","firecode.gov","https://www.firecode.gov","Department of the Interior","dotgov","No"
"fireleadership.gov","fireleadership.gov","https://fireleadership.gov","Department of the Interior","dotgov","No"
"firescience.gov","firescience.gov","https://www.firescience.gov","Department of the Interior","dotgov","No"
"firstnet.gov","firstnet.gov","https://firstnet.gov","Department of Commerce","dotgov","No"
"firstrespondertraining.gov","firstrespondertraining.gov","https://www.firstrespondertraining.gov","Department of Homeland Security","dotgov","No"
"fishwatch.gov","fishwatch.gov","https://www.fishwatch.gov","Department of Commerce","dotgov","Yes"
"fleta.gov","fleta.gov","https://www.fleta.gov","Department of Homeland Security","dotgov","Yes"
"fletc.gov","fletc.gov","https://www.fletc.gov","Department of Homeland Security","dotgov","Yes"
"flightschoolcandidates.gov","flightschoolcandidates.gov","https://flightschoolcandidates.gov","Department of Homeland Security","dotgov","No"
"floodsmart.gov","floodsmart.gov","https://www.floodsmart.gov","Department of Homeland Security","dotgov","Yes"
"flra.gov","flra.gov","https://www.flra.gov","Federal Labor Relations Authority","dotgov","Yes"
"fmc.gov","fmc.gov","https://www.fmc.gov","Federal Maritime Commission","dotgov","Yes"
"fmcs.gov","fmcs.gov","https://www.fmcs.gov","Federal Mediation and Conciliation Service","dotgov","No"
"fmshrc.gov","fmshrc.gov","https://fmshrc.gov","Federal Mine Safety and Health Review Commission","dotgov","No"
"fnal.gov","fnal.gov","https://fnal.gov","Department of Energy","dotgov","No"
"foia.gov","foia.gov","https://www.foia.gov","Department of Justice","dotgov","Yes"
"foiaonline.gov","foiaonline.gov","https://foiaonline.gov","Environmental Protection Agency","dotgov","No"
"foodsafety.gov","foodsafety.gov","https://www.foodsafety.gov","Department of Health and Human Services","dotgov","Yes"
"fordlibrarymuseum.gov","fordlibrarymuseum.gov","https://www.fordlibrarymuseum.gov","National Archives and Records Administration","dotgov","Yes"
